Date,Stock,Country,ISIN,Description,Currency,Gross_Income
2021-11-11 11:33:00,,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 0,01 EUR",,
2021-11-11 11:33:00,FLATEX EURO BANKACCOUNT,,NLFLATEXACNT,Degiro Cash Sweep Transfer,EUR,"-0,01"
2021-11-10 10:47:00,,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 0,01 EUR",,
2021-11-10 10:47:00,FLATEX EURO BANKACCOUNT,,NLFLATEXACNT,Degiro Cash Sweep Transfer,EUR,"0,01"
2021-11-09 10:17:00,,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 26,41 EUR",,
2021-11-09 10:17:00,FLATEX EURO BANKACCOUNT,,NLFLATEXACNT,Degiro Cash Sweep Transfer,EUR,"-26,41"
2021-11-08 18:00:00,ADVANCED MICRO DEVICES,United States (USA),US0079031078,Ingreso Cambio de Divisa,USD,"149,95"
2021-11-08 18:00:00,ADVANCED MICRO DEVICES,United States (USA),US0079031078,Retirada Cambio de Divisa,EUR,"-129,51"
2021-11-08 18:00:00,ADVANCED MICRO DEVICES,United States (USA),US0079031078,Costes de transacciÃ³n y/o externos de DEGIRO,EUR,"-0,50"
2021-11-08 18:00:00,ADVANCED MICRO DEVICES,United States (USA),US0079031078,"Compra 1 ADVANCED MICRO DEVICES@149,95 USD (US0079031078)",USD,"-149,95"
2021-11-08 17:39:00,TAKE-TWO INTERACTIVE S,United States (USA),US8740541094,Retirada Cambio de Divisa,USD,"-182,02"
2021-11-08 17:39:00,TAKE-TWO INTERACTIVE S,United States (USA),US8740541094,Ingreso Cambio de Divisa,EUR,"156,91"
2021-11-08 17:39:00,TAKE-TWO INTERACTIVE S,United States (USA),US8740541094,Costes de transacciÃ³n y/o externos de DEGIRO,EUR,"-0,50"
2021-11-08 17:39:00,TAKE-TWO INTERACTIVE S,United States (USA),US8740541094,"Venta 1 TAKE-TWO INTERACTIVE S@182,02 USD (US8740541094)",USD,"182,02"
2021-11-08 11:34:00,,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 0,01 EUR",,
2021-11-08 11:34:00,FLATEX EURO BANKACCOUNT,,NLFLATEXACNT,Degiro Cash Sweep Transfer,EUR,"0,01"
2021-11-05 10:47:00,,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 0,01 EUR",,
2021-11-05 10:47:00,FLATEX EURO BANKACCOUNT,,NLFLATEXACNT,Degiro Cash Sweep Transfer,EUR,"-0,01"
2021-11-04 13:56:00,KYNDRYL HOLDINGS INC,United States (USA),US50155Q1004,ESCISIÃN: Compra 1 KYNDRYL HOLDINGS INC@0 USD (US50155Q1004),USD,"0,00"
2021-11-04 10:47:00,,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 24,46 EUR",,
2021-11-04 10:47:00,FLATEX EURO BANKACCOUNT,,NLFLATEXACNT,Degiro Cash Sweep Transfer,EUR,"24,46"
2021-11-03 15:44:00,ADVANCED MICRO DEVICES,United States (USA),US0079031078,Ingreso Cambio de Divisa,USD,"127,47"
2021-11-03 15:44:00,ADVANCED MICRO DEVICES,United States (USA),US0079031078,Retirada Cambio de Divisa,EUR,"-110,23"
2021-11-03 15:44:00,ADVANCED MICRO DEVICES,United States (USA),US0079031078,Costes de transacciÃ³n y/o externos de DEGIRO,EUR,"-0,50"
2021-11-03 15:44:00,ADVANCED MICRO DEVICES,United States (USA),US0079031078,"Compra 1 ADVANCED MICRO DEVICES@127,47 USD (US0079031078)",USD,"-127,47"
2021-11-03 15:43:00,INTEL CORPORATION - CO,United States (USA),US4581401001,Retirada Cambio de Divisa,USD,"-100,04"
2021-11-03 15:43:00,INTEL CORPORATION - CO,United States (USA),US4581401001,Ingreso Cambio de Divisa,EUR,"86,33"
2021-11-03 15:43:00,INTEL CORPORATION - CO,United States (USA),US4581401001,Costes de transacciÃ³n y/o externos de DEGIRO,EUR,"-0,01"
2021-11-03 15:43:00,INTEL CORPORATION - CO,United States (USA),US4581401001,Costes de transacciÃ³n y/o externos de DEGIRO,EUR,"-0,50"
2021-11-03 15:43:00,INTEL CORPORATION - CO,United States (USA),US4581401001,"Venta 2 INTEL CORPORATION - CO@50,02 USD (US4581401001)",USD,"100,04"
2021-11-03 11:47:00,,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 0,01 EUR",,
2021-11-03 11:47:00,FLATEX EURO BANKACCOUNT,,NLFLATEXACNT,Degiro Cash Sweep Transfer,EUR,"-0,01"
2021-11-03 07:33:00,,,,Ingreso Cambio de Divisa,EUR,"0,46"
2021-11-03 07:33:00,,,,Retirada Cambio de Divisa,USD,"-0,54"
